                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.20262,                0.22695,                0.31151,                0.83429,                 0.9141,                0.92647,                0.96132,                 0.9271,                0.92095,                0.92987,                0.96062,                0.86606,                 0.1912,                0.33492,                0.33383,                0.83931,             7.2503e-05,             7.2503e-05,             7.2503e-05
                     25,                0.20107,                0.22541,                0.31005,                0.83322,                0.91449,                0.92824,                0.96134,                0.92778,                0.91867,                0.93462,                0.96262,                0.86585,                0.19366,                0.32953,                0.33696,                0.83711,             7.1253e-05,             7.1253e-05,             7.1253e-05
                     26,                0.19981,                0.22114,                0.30761,                0.83413,                0.91646,                0.91886,                0.95962,                0.92462,                0.92025,                0.92148,                  0.961,                0.86292,                0.19695,                0.33143,                0.34355,                0.84622,             7.0003e-05,             7.0003e-05,             7.0003e-05
                     27,                0.19794,                0.22012,                0.30251,                0.83134,                0.92215,                0.92371,                0.95842,                0.92452,                0.92579,                0.92692,                0.95904,                0.86358,                0.19859,                0.34848,                0.33628,                0.84968,             6.8753e-05,             6.8753e-05,             6.8753e-05
                     28,                 0.1988,                0.21859,                0.29931,                0.83291,                0.91804,                0.92076,                0.95857,                 0.9241,                0.92313,                0.92441,                0.96102,                0.86376,                0.19682,                0.33173,                0.33356,                0.84386,             6.7503e-05,             6.7503e-05,             6.7503e-05
                     29,                0.19627,                0.21985,                0.29523,                0.83094,                0.92429,                0.90929,                0.95622,                0.92376,                0.92928,                0.91456,                0.95625,                0.86293,                0.19748,                0.34083,                0.33772,                0.84739,             6.6253e-05,             6.6253e-05,             6.6253e-05
                     30,                0.19361,                0.21732,                0.29046,                 0.8294,                  0.919,                0.91829,                0.95932,                0.92471,                0.92388,                0.92839,                0.96295,                0.86388,                0.19767,                0.34028,                0.33967,                0.84704,             6.5004e-05,             6.5004e-05,             6.5004e-05
                     31,                0.19361,                0.21207,                0.28706,                0.82978,                0.91915,                0.92632,                0.96085,                0.92717,                0.92354,                0.92975,                0.96236,                0.86545,                0.19522,                0.33614,                0.32732,                0.84567,             6.3754e-05,             6.3754e-05,             6.3754e-05
                     32,                0.19075,                0.21095,                0.27953,                0.82745,                0.92993,                0.91506,                0.95823,                0.92488,                0.93506,                0.92049,                0.96103,                 0.8644,                0.19439,                0.35013,                0.33505,                0.84702,             6.2504e-05,             6.2504e-05,             6.2504e-05
                     33,                0.19181,                0.21139,                0.27876,                0.82807,                0.92256,                0.92721,                0.96081,                0.92815,                0.92591,                0.93157,                0.96195,                 0.8677,                0.19112,                0.35072,                 0.3266,                0.84481,             6.1254e-05,             6.1254e-05,             6.1254e-05
                     34,                0.18904,                0.20922,                0.27379,                0.82625,                0.93444,                0.90618,                0.95791,                0.92526,                0.92599,                0.92646,                0.96053,                0.86487,                0.19463,                0.35331,                0.32878,                 0.8493,             6.0004e-05,             6.0004e-05,             6.0004e-05
                     35,                0.18757,                0.20811,                0.27191,                0.82624,                0.92103,                0.91844,                 0.9551,                0.92236,                0.92651,                0.92435,                0.95919,                0.86286,                0.19708,                0.35074,                0.34392,                0.85595,             5.8754e-05,             5.8754e-05,             5.8754e-05
                     36,                0.18863,                0.20842,                0.27064,                0.82787,                0.93523,                0.91105,                0.95854,                0.92373,                0.93045,                0.92709,                0.96248,                0.86602,                0.19545,                0.33852,                0.33988,                0.85182,             5.7504e-05,             5.7504e-05,             5.7504e-05
                     37,                0.18569,                 0.2051,                 0.2672,                0.82553,                 0.9234,                0.91564,                0.95723,                0.92474,                0.92917,                0.92287,                0.96161,                0.86612,                 0.1973,                0.34083,                0.34398,                0.85103,             5.6254e-05,             5.6254e-05,             5.6254e-05
                     38,                0.18496,                0.20431,                0.26079,                0.82571,                0.91677,                0.92246,                0.95594,                0.92243,                0.92359,                0.92674,                 0.9591,                 0.8631,                    0.2,                0.35413,                0.33652,                0.86067,             5.5005e-05,             5.5005e-05,             5.5005e-05
                     39,                0.18582,                0.20465,                0.25579,                0.82569,                0.91406,                 0.9251,                0.95632,                0.92399,                0.92065,                 0.9307,                0.96064,                0.86373,                0.19848,                0.36058,                0.34027,                 0.8569,             5.3755e-05,             5.3755e-05,             5.3755e-05
                     40,                0.18474,                0.20361,                0.25941,                0.82477,                0.91582,                0.92258,                0.95762,                0.92601,                0.92431,                0.92193,                0.95886,                0.86665,                0.19237,                0.34634,                0.33694,                0.84937,             5.2505e-05,             5.2505e-05,             5.2505e-05
                     41,                0.18161,                0.20304,                0.25284,                0.82279,                0.92625,                0.91459,                0.95591,                0.92383,                0.92669,                0.92667,                0.95888,                 0.8653,                 0.1982,                0.36468,                0.33423,                0.85928,             5.1255e-05,             5.1255e-05,             5.1255e-05
                     42,                0.18119,                0.20103,                0.24879,                0.82358,                0.91795,                0.92627,                0.95825,                0.92663,                0.92883,                0.92686,                0.96071,                0.86864,                0.19095,                0.34703,                0.33562,                0.84921,             5.0005e-05,             5.0005e-05,             5.0005e-05
                     43,                 0.1814,                 0.1987,                0.25165,                0.82298,                0.92152,                0.91922,                0.95581,                0.92097,                0.92843,                 0.9267,                0.95879,                0.86295,                0.20023,                0.36426,                0.34121,                0.86339,             4.8755e-05,             4.8755e-05,             4.8755e-05
                     44,                0.18098,                0.19666,                0.24626,                0.82326,                 0.9275,                0.91676,                0.95652,                0.92298,                0.93301,                0.92323,                 0.9592,                0.86524,                0.20011,                 0.3683,                0.33845,                0.86402,             4.7505e-05,             4.7505e-05,             4.7505e-05
                     45,                0.18032,                0.19834,                 0.2415,                0.82281,                0.92367,                0.92169,                0.95726,                0.92396,                0.92906,                0.92849,                0.96104,                0.86577,                0.19676,                0.37655,                0.33799,                0.85898,             4.6255e-05,             4.6255e-05,             4.6255e-05
                     46,                0.17853,                 0.1965,                0.24613,                0.82263,                0.92169,                0.92101,                0.95819,                0.92455,                0.92828,                0.92626,                0.96169,                0.86684,                0.19781,                0.35636,                0.34084,                0.86014,             4.5005e-05,             4.5005e-05,             4.5005e-05
                     47,                0.17765,                0.19609,                0.23882,                0.82095,                0.92475,                0.91329,                  0.957,                0.92317,                0.92909,                0.92434,                 0.9606,                0.86471,                0.19443,                 0.3577,                0.34106,                0.85751,             4.3756e-05,             4.3756e-05,             4.3756e-05
                     48,                0.17778,                0.19339,                 0.2329,                0.82146,                0.92801,                0.91749,                0.95701,                0.92403,                0.93328,                0.92309,                0.96179,                0.86595,                0.19993,                0.36329,                0.33943,                 0.8635,             4.2506e-05,             4.2506e-05,             4.2506e-05
                     49,                0.17638,                0.19374,                0.23143,                0.82001,                0.93232,                0.91795,                0.95739,                0.92395,                0.93525,                0.92611,                0.96252,                0.86732,                 0.2008,                0.37286,                0.33062,                0.86685,             4.1256e-05,             4.1256e-05,             4.1256e-05
                     50,                 0.1746,                 0.1937,                0.23464,                 0.8201,                0.92623,                0.91803,                0.95755,                0.92478,                0.93262,                0.92247,                0.96138,                0.86717,                0.19869,                0.35126,                0.33367,                0.86338,             4.0006e-05,             4.0006e-05,             4.0006e-05
                     51,                0.17589,                0.19163,                0.22922,                0.82033,                0.92757,                0.91725,                0.95705,                0.92398,                0.93407,                 0.9239,                0.95973,                0.86729,                0.19824,                0.36503,                0.33576,                0.86326,             3.8756e-05,             3.8756e-05,             3.8756e-05
                     52,                0.17393,                0.18801,                0.22728,                0.81881,                0.93119,                0.91593,                0.95708,                0.92321,                0.93711,                0.92201,                0.95965,                0.86545,                0.19851,                 0.3728,                0.33843,                0.86562,             3.7506e-05,             3.7506e-05,             3.7506e-05
                     53,                0.17253,                0.18846,                0.22273,                0.81969,                0.92709,                0.91687,                0.95762,                0.92351,                0.93385,                0.92504,                0.95944,                0.86663,                0.19569,                0.36235,                0.33733,                0.86158,             3.6256e-05,             3.6256e-05,             3.6256e-05
                     54,                0.17269,                0.18702,                0.22296,                 0.8187,                0.92697,                0.91731,                0.95482,                0.92068,                0.93316,                0.92292,                0.95729,                0.86371,                0.20278,                0.38114,                0.34165,                0.87322,             3.5006e-05,             3.5006e-05,             3.5006e-05
                     55,                0.17109,                0.18712,                0.21736,                0.81744,                0.93126,                0.91028,                0.95672,                0.92154,                0.93377,                0.92086,                0.95737,                0.86467,                 0.2034,                0.38188,                0.34205,                0.87289,             3.3757e-05,             3.3757e-05,             3.3757e-05
                     56,                0.17258,                0.18696,                 0.2186,                0.81953,                0.92638,                 0.9183,                 0.9565,                0.92208,                0.93303,                0.92655,                0.95751,                0.86402,                0.20219,                0.37451,                0.33774,                0.87127,             3.2507e-05,             3.2507e-05,             3.2507e-05
                     57,                0.16983,                0.18496,                0.21503,                0.81756,                 0.9187,                0.92354,                0.95652,                0.92131,                0.92941,                 0.9271,                0.95778,                0.86413,                0.20256,                0.37981,                0.33737,                0.87452,             3.1257e-05,             3.1257e-05,             3.1257e-05
                     58,                0.16948,                0.18456,                0.21361,                0.81793,                0.92651,                0.92109,                0.95685,                0.92291,                0.93303,                0.92778,                0.95881,                0.86564,                 0.2021,                0.38179,                0.33603,                0.87375,             3.0007e-05,             3.0007e-05,             3.0007e-05
                     59,                0.16883,                0.18239,                0.21404,                0.81797,                0.92436,                0.91876,                0.95598,                0.92146,                0.93306,                0.92498,                0.95763,                0.86434,                0.19962,                0.38199,                0.33904,                0.86926,             2.8757e-05,             2.8757e-05,             2.8757e-05
                     60,                0.16755,                0.18308,                0.21187,                0.81695,                0.93005,                0.91304,                 0.9568,                0.92247,                 0.9306,                0.92243,                0.95902,                0.86594,                0.20327,                0.38957,                0.33349,                0.87538,             2.7507e-05,             2.7507e-05,             2.7507e-05
                     61,                 0.1673,                0.18142,                0.20568,                0.81572,                0.92435,                0.92051,                0.95579,                 0.9215,                 0.9291,                0.92624,                0.95855,                0.86572,                0.20588,                0.38909,                0.33199,                0.87784,             2.6257e-05,             2.6257e-05,             2.6257e-05
                     62,                0.16583,                0.18098,                0.20535,                0.81573,                 0.9258,                 0.9211,                0.95601,                0.92234,                0.93554,                0.92157,                0.95978,                0.86706,                0.20663,                0.39136,                0.33427,                0.88086,             2.5008e-05,             2.5008e-05,             2.5008e-05
                     63,                 0.1653,                0.17878,                0.20303,                0.81517,                0.92493,                0.91883,                0.95533,                0.92098,                0.93277,                 0.9232,                0.95903,                0.86504,                0.20777,                0.39223,                0.33698,                 0.8828,             2.3758e-05,             2.3758e-05,             2.3758e-05
                     64,                0.16451,                 0.1782,                0.20442,                0.81571,                0.92829,                0.91684,                0.95422,                0.92042,                0.93419,                0.92334,                0.95775,                0.86388,                0.20612,                0.39658,                0.33857,                0.88256,             2.2508e-05,             2.2508e-05,             2.2508e-05
                     65,                0.16371,                0.17689,                0.19938,                0.81445,                0.92697,                0.91565,                0.95351,                0.91901,                0.93268,                0.92373,                0.95722,                0.86268,                 0.2066,                0.39858,                0.34184,                0.88342,             2.1258e-05,             2.1258e-05,             2.1258e-05
                     66,                0.16289,                0.17789,                0.20042,                0.81354,                 0.9276,                0.91453,                0.95321,                0.91818,                0.93576,                0.92267,                 0.9566,                0.86177,                0.20837,                0.39901,                0.34287,                0.88529,             2.0008e-05,             2.0008e-05,             2.0008e-05
                     67,                0.16214,                0.17833,                 0.1977,                0.81397,                0.92888,                0.91562,                0.95297,                0.91809,                0.93288,                0.92604,                0.95698,                0.86221,                 0.2085,                0.39874,                0.33969,                0.88632,             1.8758e-05,             1.8758e-05,             1.8758e-05
                     68,                0.16199,                0.17577,                 0.1958,                0.81378,                0.92506,                0.91267,                0.95085,                0.91648,                 0.9331,                0.91969,                0.95471,                0.86004,                0.21122,                0.39882,                0.33936,                0.89076,             1.7508e-05,             1.7508e-05,             1.7508e-05
                     69,                 0.1627,                0.17618,                  0.195,                0.81478,                0.92497,                0.91148,                0.94957,                0.91562,                0.93336,                0.92009,                 0.9552,                0.85957,                0.21255,                0.40454,                0.34098,                0.89414,             1.6258e-05,             1.6258e-05,             1.6258e-05
                     70,                0.16044,                 0.1748,                0.19076,                0.81325,                0.92119,                 0.9167,                  0.951,                0.91631,                0.92861,                0.92406,                0.95493,                0.86039,                 0.2131,                0.40833,                0.34296,                0.89459,             1.5009e-05,             1.5009e-05,             1.5009e-05
                     71,                0.12914,                0.14692,                 0.1356,                0.77879,                0.92418,                0.91856,                0.95118,                0.91534,                0.93139,                0.92532,                0.95474,                0.86005,                0.21369,                0.41047,                0.34714,                0.89668,             1.3759e-05,             1.3759e-05,             1.3759e-05
                     72,                0.12722,                 0.1448,                0.13272,                 0.7772,                0.92461,                0.91588,                0.95039,                0.91532,                0.93296,                0.92236,                0.95457,                0.85979,                0.21385,                0.41357,                 0.3496,                0.89825,             1.2509e-05,             1.2509e-05,             1.2509e-05
                     73,                0.12621,                0.14456,                0.13133,                0.77792,                 0.9217,                0.91483,                0.94906,                0.91472,                0.93132,                 0.9226,                0.95334,                0.85932,                0.21549,                0.41833,                0.34919,                0.90211,             1.1259e-05,             1.1259e-05,             1.1259e-05
                     74,                 0.1244,                0.14176,                0.12865,                0.77693,                0.92013,                0.91438,                 0.9486,                0.91393,                0.92988,                 0.9211,                0.95314,                0.85885,                0.21625,                0.41828,                0.34999,                0.90441,             1.0009e-05,             1.0009e-05,             1.0009e-05
                     75,                0.12403,                0.14197,                0.12627,                0.77714,                 0.9208,                0.91449,                 0.9488,                0.91419,                0.92975,                0.92105,                0.95271,                0.85905,                0.21486,                0.42047,                0.34986,                0.90227,             8.7591e-06,             8.7591e-06,             8.7591e-06
                     76,                0.12374,                0.14066,                0.12654,                 0.7762,                 0.9211,                0.91561,                 0.9485,                0.91385,                0.93006,                0.92295,                0.95291,                0.85916,                0.21722,                0.42545,                0.34829,                0.90498,             7.5092e-06,             7.5092e-06,             7.5092e-06
                     77,                 0.1221,                0.13889,                0.12214,                0.77438,                0.92092,                0.91587,                0.94835,                 0.9135,                0.93165,                0.92062,                0.95298,                0.85923,                 0.2176,                0.42822,                0.34893,                 0.9054,             6.2594e-06,             6.2594e-06,             6.2594e-06
                     78,                 0.1212,                0.13976,                0.12405,                0.77482,                0.92262,                0.91434,                0.94776,                0.91363,                0.93242,                0.91958,                 0.9527,                0.85901,                0.21874,                0.43057,                0.34873,                0.90704,             5.0095e-06,             5.0095e-06,             5.0095e-06
                     79,                0.12035,                0.13914,                0.11947,                0.77479,                0.92278,                0.91488,                0.94727,                0.91297,                0.93139,                0.92199,                0.95255,                0.85885,                0.21979,                0.43324,                0.34824,                0.90889,             3.7596e-06,             3.7596e-06,             3.7596e-06
                     80,                0.12034,                0.13877,                0.11871,                0.77519,                0.92347,                0.91533,                0.94694,                0.91224,                0.93381,                 0.9205,                0.95243,                0.85817,                0.21971,                0.43573,                0.34947,                0.90966,             2.5098e-06,             2.5098e-06,             2.5098e-06
